                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7821,                 4.6525,                 4.3493,                0.00044,                    0.2,                0.00032,                  7e-05,                 2.6488,                 4.9287,                 4.1581,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 2.9346,                 4.7051,                  4.312,                0.00039,                  0.175,                0.00026,                  6e-05,                 2.6462,                 4.9292,                  4.157,               8.17e-05,               8.17e-05,               8.17e-05
                      3,                 2.6705,                 4.6283,                 4.3034,                0.00011,                   0.05,                  6e-05,                  1e-05,                 2.6427,                   4.93,                 4.1555,             0.00012808,             0.00012808,             0.00012808
                      4,                 2.7345,                 4.5461,                 4.1993,                0.00027,                  0.125,                0.00018,                  5e-05,                 2.6378,                 4.9297,                 4.1534,             0.00017248,             0.00017248,             0.00017248
                      5,                 2.6152,                 4.6798,                 4.1976,                0.00032,                   0.15,                0.00026,                  7e-05,                 2.6309,                 4.9284,                 4.1501,              0.0002149,              0.0002149,              0.0002149
                      6,                 2.8394,                 4.7553,                 4.2059,                0.00016,                  0.075,                 0.0001,                  2e-05,                 2.6248,                 4.9267,                 4.1471,             0.00025533,             0.00025533,             0.00025533
                      7,                 2.8277,                 4.6401,                 4.1621,                0.00027,                  0.125,                0.00018,                  3e-05,                 2.6142,                 4.9232,                 4.1415,             0.00029379,             0.00029379,             0.00029379
                      8,                 2.8428,                   4.42,                 4.1368,                0.00016,                  0.075,                 0.0001,                  2e-05,                  2.608,                 4.9197,                  4.138,             0.00033027,             0.00033027,             0.00033027
                      9,                 3.1235,                 4.5591,                 4.1231,                0.00016,                  0.075,                 0.0001,                  2e-05,                 2.5952,                 4.9064,                 4.1304,             0.00036477,             0.00036477,             0.00036477
                     10,                 3.1084,                 4.3886,                 4.1151,                0.00017,                  0.075,                 0.0001,                  2e-05,                 2.5878,                 4.8962,                 4.1262,             0.00039728,             0.00039728,             0.00039728
                     11,                 3.0299,                 4.1358,                 4.0769,                  6e-05,                  0.025,                  3e-05,                      0,                 2.5708,                 4.8607,                 4.1155,             0.00042782,             0.00042782,             0.00042782
                     12,                 2.6376,                 4.0227,                 4.0621,                  6e-05,                  0.025,                  3e-05,                  1e-05,                 2.5593,                 4.8377,                 4.1092,             0.00045637,             0.00045637,             0.00045637
                     13,                 2.6193,                 4.1781,                 4.0293,                  6e-05,                  0.025,                  3e-05,                      0,                 2.5335,                 4.7727,                 4.0947,             0.00048295,             0.00048295,             0.00048295
                     14,                 2.8945,                 4.4299,                 4.0025,                0.00068,                  0.275,                0.00067,                0.00018,                 2.5159,                 4.7387,                 4.0859,             0.00050754,             0.00050754,             0.00050754
                     15,                 2.6709,                 4.1687,                 3.9969,                0.00065,                  0.275,                0.00061,                0.00016,                 2.4736,                 4.6914,                 4.0689,             0.00053016,             0.00053016,             0.00053016
                     16,                 2.6885,                 3.9073,                 3.9063,                0.00039,                  0.175,                 0.0003,                  8e-05,                 2.4612,                 4.6837,                 4.0637,             0.00055079,             0.00055079,             0.00055079
                     17,                 2.4479,                 3.5907,                 3.7526,                0.00016,                  0.075,                  9e-05,                  2e-05,                 2.4794,                  4.702,                 4.0769,             0.00056945,             0.00056945,             0.00056945
                     18,                 2.7714,                 3.7043,                 3.8293,                  5e-05,                  0.025,                  3e-05,                  1e-05,                 2.4976,                 4.7254,                 4.0922,             0.00058612,             0.00058612,             0.00058612
                     19,                 2.5558,                 3.4526,                 3.6939,                  6e-05,                  0.025,                  3e-05,                      0,                 2.5213,                 4.7278,                 4.1067,             0.00060081,             0.00060081,             0.00060081
                     20,                 2.3261,                 3.6576,                 3.6938,                  6e-05,                  0.025,                  3e-05,                      0,                 2.5284,                  4.722,                 4.1141,             0.00061353,             0.00061353,             0.00061353
                     21,                 2.3217,                  3.234,                 3.5432,                  6e-05,                  0.025,                  3e-05,                      0,                   2.54,                 4.7458,                 4.1244,             0.00062426,             0.00062426,             0.00062426
                     22,                 2.2075,                 2.9341,                 3.4525,                  6e-05,                  0.025,                  3e-05,                      0,                 2.5544,                 4.7519,                 4.1387,             0.00063301,             0.00063301,             0.00063301
                     23,                 2.4489,                 3.4841,                 3.4014,                0.00012,                  0.025,                  7e-05,                  1e-05,                 2.5766,                  4.747,                 4.1613,             0.00063978,             0.00063978,             0.00063978
                     24,                 2.4139,                 3.2149,                 3.4455,                0.00011,                  0.025,                  6e-05,                  1e-05,                 2.5442,                 4.7356,                 4.1483,             0.00064457,             0.00064457,             0.00064457
                     25,                 2.3153,                 3.0995,                 3.3346,                  5e-05,                  0.025,                  3e-05,                  1e-05,                 2.4714,                 4.7285,                 4.0987,             0.00064738,             0.00064738,             0.00064738
                     26,                 2.2455,                 3.3557,                 3.1547,                0.00049,                  0.225,                0.00038,                0.00012,                 2.2175,                 4.7585,                  3.859,             0.00064821,             0.00064821,             0.00064821
                     27,                 2.3119,                 3.1029,                 3.2182,                0.00054,                   0.25,                0.00049,                0.00018,                 2.0488,                 4.8463,                 3.7024,             0.00064706,             0.00064706,             0.00064706
                     28,                 2.1872,                 3.0183,                 3.0909,                 0.0006,                  0.275,                0.00061,                0.00022,                 1.9311,                 4.9415,                 3.5692,             0.00064393,             0.00064393,             0.00064393
                     29,                 2.3096,                 2.8836,                 3.2707,                 0.0006,                  0.275,                0.00061,                0.00022,                 1.9311,                 4.9415,                 3.5692,             0.00063882,             0.00063882,             0.00063882
                     30,                 2.0791,                 3.0203,                 3.1297,                0.00049,                  0.225,                0.00037,                0.00012,                 2.0912,                 4.7959,                  3.725,             0.00063173,             0.00063173,             0.00063173
